Names,Fan_Pts,Rostered,PYds,PTD,PInt,PSack,P40_Yd_Cmp,P40_Yd_TD,RuAtt,RuYds,RuTD,Ru40_Yd_Att,Ru40_Yd_TD,ReTgt,ReRec,ReYds,ReTD,Re40_Yd_Rec,Re40_Yd_TD,Ret_TD,2PT,Fum_Lost,Fan_Pts2,Rostered2,PYds2,PTD2,PInt2,PSack2,P40_Yd_Cmp2,P40_Yd_TD2,RuAtt2,RuYds2,RuTD2,Ru40_Yd_Att2,Ru40_Yd_TD2,ReTgt2,ReRec2,ReYds2,ReTD2,Re40_Yd_Rec2,Re40_Yd_TD2,Ret_TD2,2PT2,Fum_Lost2
H. Renfrow LV - WR,30.7,0.83,0,0,0,0,0,0,0,0,0,0,0,14,13,117,1,0,0,0,0,1,21.2,0.82,0,0,0,0,0,0,0,0,0,0,0,10,9,102,0,0,0,0,0,0
D. Samuel SF - WR,12.9,0.98,0,0,0,0,0,0,8,37,1,0,0,1,1,22,0,0,0,0,0,0,21.8,0.98,0,0,0,0,0,0,6,66,2,1,0,4,1,12,0,0,0,0,0,0
K. Allen LAC - WR,22.4,0.99,0,0,0,0,0,0,0,0,0,0,0,8,5,34,2,0,0,0,1,0,15.5,0.99,0,0,0,0,0,0,0,0,0,0,0,10,7,85,0,0,0,0,0,0
J. Waddle Mia - WR,18,0.94,0,0,0,0,0,0,0,0,0,0,0,11,9,90,0,0,0,0,0,0,31.7,0.92,0,0,0,0,0,0,0,0,0,0,0,10,9,137,1,1,0,0,0,0
M. Evans TB - WR,21.1,0.99,0,0,0,0,0,0,0,0,0,0,0,6,6,91,1,0,0,0,0,0,16.9,1,0,0,0,0,0,0,0,0,0,0,0,10,7,99,0,0,0,0,0,0
